Loadsheet_Number,Total_Pax,Y_Pax,Jump_Pax,Standby_Pax,Male_Pax,Female_Pax,Child_Pax,Infant_Pax,Total_Bags,Total_Bag_Weight_KG,Baggage_Weight_Type,Distribution_Type,Section,Capacity,Distribution
,157,157,0,NULL,97,57,3,1,100,1048.0,ACTUAL,CKI_DISTRIBUTION,0C,Y36,Y22
,157,157,0,NULL,97,57,3,1,100,1048.0,ACTUAL,CKI_DISTRIBUTION,0D,Y36,Y35
,157,157,0,NULL,97,57,3,1,100,1048.0,ACTUAL,CKI_DISTRIBUTION,0E,Y30,Y28
,157,157,0,NULL,97,57,3,1,100,1048.0,ACTUAL,CKI_DISTRIBUTION,0F,Y30,Y25
,121,121,0,NULL,71,47,3,0,104,1149.0,ACTUAL,CKI_DISTRIBUTION,0A,Y33,Y32
,121,121,0,NULL,71,47,3,0,104,1149.0,ACTUAL,CKI_DISTRIBUTION,0B,Y30,Y23
,121,121,0,NULL,71,47,3,0,104,1149.0,ACTUAL,CKI_DISTRIBUTION,0C,Y30,Y19
,121,121,0,NULL,71,47,3,0,104,1149.0,ACTUAL,CKI_DISTRIBUTION,0D,Y30,Y15
,121,121,0,NULL,71,47,3,0,104,1149.0,ACTUAL,CKI_DISTRIBUTION,0E,Y30,Y15
,121,121,0,NULL,71,47,3,0,104,1149.0,ACTUAL,CKI_DISTRIBUTION,0F,Y36,Y17
,82,82,0,NULL,55,25,2,0,60,526.0,ACTUAL,CKI_DISTRIBUTION,0A,Y12,Y3
,82,82,0,NULL,55,25,2,0,60,526.0,ACTUAL,CKI_DISTRIBUTION,0B,Y36,Y19
,82,82,0,NULL,55,25,2,0,60,526.0,ACTUAL,CKI_DISTRIBUTION,0C,Y30,Y15
,82,82,0,NULL,55,25,2,0,60,526.0,ACTUAL,CKI_DISTRIBUTION,0D,Y30,Y18
,82,82,0,NULL,55,25,2,0,60,526.0,ACTUAL,CKI_DISTRIBUTION,0E,Y30,Y0
,82,82,0,NULL,55,25,2,0,60,526.0,ACTUAL,CKI_DISTRIBUTION,0F,Y36,Y27
,103,103,0,NULL,52,49,2,3,100,1088.0,ACTUAL,CKI_DISTRIBUTION,0A,Y12,Y0
,103,103,0,NULL,52,49,2,3,100,1088.0,ACTUAL,CKI_DISTRIBUTION,0B,Y36,Y27
,103,103,0,NULL,52,49,2,3,100,1088.0,ACTUAL,CKI_DISTRIBUTION,0C,Y30,Y19
,103,103,0,NULL,52,49,2,3,100,1088.0,ACTUAL,CKI_DISTRIBUTION,0D,Y30,Y15
,103,103,0,NULL,52,49,2,3,100,1088.0,ACTUAL,CKI_DISTRIBUTION,0E,Y30,Y20
,103,103,0,NULL,52,49,2,3,100,1088.0,ACTUAL,CKI_DISTRIBUTION,0F,Y36,Y22
,129,129,0,NULL,66,48,15,2,93,1070.0,ACTUAL,CKI_DISTRIBUTION,0A,Y36,Y26
,129,129,0,NULL,66,48,15,2,93,1070.0,ACTUAL,CKI_DISTRIBUTION,0B,Y30,Y19
,129,129,0,NULL,66,48,15,2,93,1070.0,ACTUAL,CKI_DISTRIBUTION,0C,Y27,Y8
,129,129,0,NULL,66,48,15,2,93,1070.0,ACTUAL,CKI_DISTRIBUTION,0D,Y30,Y26
,129,129,0,NULL,66,48,15,2,93,1070.0,ACTUAL,CKI_DISTRIBUTION,0E,Y30,Y23
,129,129,0,NULL,66,48,15,2,93,1070.0,ACTUAL,CKI_DISTRIBUTION,0F,Y36,Y27
,106,106,0,NULL,53,51,2,3,128,1363.0,ACTUAL,CKI_DISTRIBUTION,0A,Y12,Y0
,106,106,0,NULL,53,51,2,3,128,1363.0,ACTUAL,CKI_DISTRIBUTION,0B,Y36,Y27
,106,106,0,NULL,53,51,2,3,128,1363.0,ACTUAL,CKI_DISTRIBUTION,0C,Y30,Y19
,106,106,0,NULL,53,51,2,3,128,1363.0,ACTUAL,CKI_DISTRIBUTION,0D,Y30,Y15
,106,106,0,NULL,53,51,2,3,128,1363.0,ACTUAL,CKI_DISTRIBUTION,0E,Y30,Y23
,106,106,0,NULL,53,51,2,3,128,1363.0,ACTUAL,CKI_DISTRIBUTION,0F,Y36,Y22
,188,188,0,NULL,119,62,7,0,130,1470.0,ACTUAL,CKI_DISTRIBUTION,0A,Y36,Y36
,188,188,0,NULL,119,62,7,0,130,1470.0,ACTUAL,CKI_DISTRIBUTION,0B,Y30,Y30
,188,188,0,NULL,119,62,7,0,130,1470.0,ACTUAL,CKI_DISTRIBUTION,0C,Y27,Y27
